item,status,location,evidence,notes
1,missing,,,
2,missing,,,
3,missing,,,
4,missing,,,
5,missing,,,
6,missing,,,
7,missing,,,
8,missing,,,
9,missing,,,
10a,missing,,,
10b,missing,,,
11,missing,,,
12,missing,,,
13a,missing,,,
13b,missing,,,
13c,missing,,,
13d,missing,,,
13e,missing,,,
13f,missing,,,
14,missing,,,
15,missing,,,
16a,missing,,,
16b,missing,,,
17,missing,,,
18,missing,,,
19,missing,,,
20a,missing,,,
20b,missing,,,
20c,missing,,,
20d,missing,,,
21,missing,,,
22,missing,,,
23a,missing,,,
23b,missing,,,
23c,missing,,,
23d,missing,,,
24a,missing,,,
24b,missing,,,
24c,missing,,,
25,missing,,,
26,missing,,,
27,missing,,,
